Timestamp dT0 sum(dT0) dT1 sum(dT1) dT2 sum(dT2) L0 L1N L1S L2 30S(Tg) 15S(Tg) 15N(Tg) 30N(Tg)
2035 0.13 0.13 0.01 0.01 -0.03 -0.03 0.0140 0 0 0 0. 0.5205 0.5205 0.
2036 -0.0211933349475 0.108806665053 -0.0157188624561 -0.00571886245606 -0.00695673631147 -0.0369567363115 0.0211406647882 0 0.000354918615995 0 0.00709837 0.63954372 0.62357239 0.
2037 0.103419974947 0.21222664 -0.0171415784342 -0.0228604408903 -0.0348963370935 -0.071853073405 0.0266005332214 0 0.00166696746634 0 0.03333935 0.82302051 0.74800697 0.
2038 0.0543465522291 0.266573192229 0.00186495230224 -0.0209954885881 0.0215713507467 -0.0502817226583 0.0312836987942 0 0.00192142726764 0 0.03842855 0.96733237 0.88086815 0.
2039 0.0137505451549 0.280323737384 0.0327942330294 0.0117987444413 0.112102388445 -0.0502817226583 0.0355352474964 0.000964181964283 0 0.0345710655321 1.38284262 0. 0.04338819 1.40212626
2040 0.3001171754 0.580440912784 0.113647447736 0.125446192177 0.00362371843044 -0.0466580042279 0.0508142130138 0.0099466445786 0 0 0. 1.22602705 1.67362606 0.19893289
2041 0.314609828136 0.89505074092 0.00159836386728 0.127044556044 0.0083026010442 -0.0383554031837 0.0603067884137 0 0.00138158233752 0 0.02763165 1.82992739 1.76775618 0.
2042 0.25112638494 1.14617712586 0.0740702014234 0.201114757467 0.00458354389797 -0.0337718592857 0.0672106542476 0.00793610028066 0 0 0. 1.77823662 2.13536113 0.15872201
2043 0.239982268476 1.38615939434 0.0379691144626 0.23908387193 0.038133199245 0.00436133995931 0.0748683924295 0.0059828936606 0 0 0. 2.06656496 2.33579518 0.11965787
2044 -0.0258240207522 1.36033537359 0.0382615941626 0.277345466093 0.102581390752 0.106942730711 0.0730015577569 0.0115544327588 0 0.0409499681394 1.63799873 0.61491471 1.13486418 1.86908738
2045 0.0676222418159 1.42795761541 -0.00241694355204 0.274928522541 0.0547454807382 0.161688211449 0.0794191113872 0.00683556620429 0 0.0401582005753 1.60632802 0.97276034 1.28036082 1.74303935
2046 0.218317673524 1.64627528893 -0.0216953869806 0.25323313556 0.00678770997864 0.168475921428 0.089642051213 0.000373766861571 0 0.0205602017858 0.82240807 2.06124248 2.07806199 0.82988341
2047 0.070041099516 1.71631638845 -0.0754897327889 0.177743402771 -0.0505597663162 0.117916155112 0.0916803420297 0 0.00864546966519 0 0.17290939 2.88009231 2.49104617 0.
2048 0.0530728413614 1.76938922981 0.000282721174621 0.178026123946 0.032611966805 0.150528121917 0.0958110559025 0 0.00324887191368 0.0237886517788 1.01652351 2.2094052 2.06320597 0.95154607
2049 -0.0558193150529 1.71356991476 -0.0454020650093 0.132624058937 0.0205563761611 0.171084498078 0.0962668359746 0 0.00860060184455 0.0294551167881 1.35021671 2.1333606 1.74633352 1.17820467
2050 -0.1128593918 1.60071052296 -0.0814311096024 0.0511929493346 -0.00548364142999 0.165600856648 0.0966276757002 0 0.0158907713183 0.0227288954478 1.22697124 2.45532498 1.74024027 0.90915582
2051 -0.00522897964555 1.59548154331 -0.141118006454 -0.0899250571193 -0.0826926879592 0.0829081686888 0.101971621915 0 0.0319483536446 0 0.63896707 3.53837396 2.10069805 0.
2052 -0.0545165220933 1.54096502122 -0.109678315314 -0.199603372433 -0.0475058093088 0.03540235938 0.103542007534 0 0.0368899148543 0 0.7377983 3.65960895 1.99956278 0.
2053 -0.0339788954496 1.50698612577 -0.0842117815666 -0.283815154 0.0226761543999 0.0580785137799 0.106766032315 0 0.0411904444056 0 0.82380889 3.82083764 1.96726764 0.
2054 0.0645178239888 1.57150394976 -0.118250465865 -0.402065619865 -0.0604961583218 -0.0024176445419 0.11321919846 0 0.0541494004853 0 1.08298801 4.20881696 1.77209394 0.
2055 0.00124012071973 1.57274407048 -0.0609877997469 -0.463053419612 -0.0611255534457 -0.0635431979876 0.115553910699 0 0.0538622591672 0 1.07724518 4.27455121 1.85074955  0.
2056 -0.0579414841707 1.51480258631 -0.0997340349415 -0.562787454554 -0.0448391643652 -0.108382362353 0.116880558169 0 0.0632181472435 0 1.26436294 4.45468895 1.60987233 0.
2057 0.0563106546876 1.571113241 -0.0740445020991 -0.636831956653 -0.0271677608248 -0.135550123178 0.123471857291 0 0.0684199259896 0 1.36839852 4.73045461 1.65155794 0.
2058 -0.0696665444933 1.50144669651 -0.0658610732635 -0.702693029917 -0.00406282206528 -0.139612945243 0.123361576782 0 0.0709729123604 0 1.41945825 4.76544099 1.57165993 0.
2059 -0.0755410067877 1.42590568972 -0.0896929600349 -0.792385989952 -0.0431340754513 -0.182747020694 0.125341673698 0 0.0787763817829 0 1.57552764 4.94189594 1.39695876 0.
2060 -0.196253249286 1.22965244043 -0.103588309888 -0.89597429984 0.025695066851 -0.157051953843 0.123011205198 0 0.0847226671115 0 1.69445334 4.96117616 1.14865614 0.
2061 -0.235048847189 0.994603593241 -0.106221467281 -1.00219576712 -0.00725229911712 -0.16430425296 0.121469851853 0 0.0904137436769 0 1.80827487 5.00030171 0.93168325 0.
2062 -0.0951038655523 0.899499727689 -0.144040935726 -1.14623670285 -0.106142839776 -0.270447092736 0.125760444277 0 0.104518128323 0 2.09036257 5.34058525 0.63726948 0.
2063 -0.0182947290122 0.881204998677 -0.139190674731 -1.28542737758 -0.0600878367826 -0.330534929519 0.130301257935 0 0.115169368307 0 2.30338737 5.63657826 0.45395669 0.
2064 -0.201664445675 0.679540553002 -0.0740787940304 -1.35950617161 -0.00368552782673 -0.334220457346 0.126725132764 0 0.112321514295 0 2.24643029 5.4865767 0.43210855 0.
2065 -0.0373385345795 0.642202018422 0.00401480874704 -1.35549136286 -0.0215901544436 -0.35581061179 0.132519001754 0 0.107300685402 0 2.14601371 5.58508033 0.75654949 0.
