Timestamp dT0 sum(dT0) dT1 sum(dT1) dT2 sum(dT2) L0 L1N L1S L2 30S(Tg) 15S(Tg) 15N(Tg) 30N(Tg)
2035 0.13 0.13 0.01 0.01 -0.03 -0.03 0.0140 0 0 0 0. 0.5205 0.5205 0.
2036 0.210578486337 0.340578486337 0.114092241206 0.124092241206 -0.0017572896771 -0.0317572896771 0.02283723452 0.00338533485314 0 0 0. 0.58355699 0.73589706 0.0677067
2037 0.0794183825226 0.41999686886 -0.0387842433622 0.0853079978438 -0.0296293673229 -0.061386657 0.0279457196401 0.000670151556965 0 0 0. 0.81826704 0.84842386 0.01340303
2038 -0.0433827489729 0.376614119887 0.000665838607735 0.0859738364515 0.0287954327755 -0.0325912242245 0.0314188804526 0.00281671638339 0 0 0. 0.85806492 0.98481716 0.05633433
2039 -0.196153939877 0.18046018001 -0.131884277817 -0.045910441365 -0.00843275042304 -0.0410239746475 0.0310002433555 0 0.0106184512257 0 0.21236902 1.08928407 0.61145376 0.
2040 0.0609530786635 0.241413258674 -0.0565635185549 -0.10247395992 -0.00206772264528 -0.0430916972928 0.0402333039733 0 0.0147421741158 0 0.29484348 1.42813173 0.7647339 0.
2041 0.0438975170953 0.285310775769 -0.0379950216253 -0.140468981545 0.0367604284879 -0.00633126880494 0.0441945117594 0 0.0164505953185 0.00346938606165 0.46778735 1.4685127 0.72823591 0.13877544
2042 -0.0112355016633 0.274075274106 -0.0357758209194 -0.176244802464 0.0600681728455 -0.00633126880494 0.0464499678357 0 0.0183701368586 0.028079830977 1.49059598 0.82665616 0. 1.12319324
2043 0.195811641638 0.469886915744 -0.0447977602406 -0.221042562705 -0.0362269643202 -0.0425582331251 0.0572922836001 0 0.0261089181178 0 0.52217836 2.11040228 0.93550096 0.
2044 0.165954372723 0.635841288467 -0.0389894449011 -0.260032007606 -0.0492775758971 -0.0918358090222 0.0632528605998 0 0.0298527456737 0 0.59705491 2.345377 1.00200345 0.
2045 -0.104945882569 0.530895405898 -0.0822813804396 -0.342313388046 -0.0366299281017 -0.128465737124 0.0598448762769 0 0.0358694242054 0 0.71738848 2.33338765 0.71926356 0.
2046 -0.0272217613611 0.503673644537 -0.102859531688 -0.445172919734 -0.045635303786 -0.17410104091 0.0642390694621 0 0.0456263783232 0 0.91252757 2.61156776 0.55838073 0.
2047 0.100035089182 0.603708733719 -0.00954266984722 -0.454715589581 0.0319947485744 -0.142106292336 0.0718685119591 0 0.0413979029145 0 0.82795806 2.7770239 0.91411827 0.
2048 -0.0160391458588 0.58766958786 -0.023197768319 -0.4779133579 0.0348438988691 -0.107262393467 0.0729208370886 0 0.0429640863486 0 0.85928173 2.83208641 0.89870252 0.
2049 0.0407564546019 0.628426042462 -0.0716207198952 -0.549534077795 -0.014655767369 -0.121918160836 0.0781760396963 0 0.0528959761142 0 1.05791952 3.13872083 0.75840191 0.
2050 0.0981192183921 0.726545260854 -0.0688970373366 -0.618431115132 -0.0315611906856 -0.153479351522 0.0844913599702 0 0.059301489866 0 1.1860298 3.42426315 0.7556961 0.
2051 0.11016863672 0.836713897574 -0.0822049773168 -0.700636092449 -0.103471380807 -0.256950732329 0.0901979503776 0 0.0676119077421 0 1.35223815 3.72011713 0.67758128 0.
2052 -0.10174047719 0.734973420384 -0.160383413492 -0.861019505941 -0.104440604612 -0.361391336941 0.0879281628605 0 0.0827057212636 0 1.65411443 3.8784307 0.15667325 0.
2053 -0.00932903946278 0.725644380921 -0.0741321241643 -0.935151630105 -0.0351670188976 -0.396558355839 0.0929185707487 0 0.0825533520708 0 1.65106704 4.0258574 0.31095656 0.
2054 0.150506908412 0.876151289333 -0.0325348105193 -0.967686440624 -0.0435624623454 -0.440120818184 0.102067845019 0 0.0847105827205 0 1.69421165 4.33269409 0.52071787 0.
2055 -0.19955827913 0.676593010203 -0.0679018708574 -1.03558831148 -0.0272032101149 -0.467324028299 0.0954797355787 0 0.0874576785194 0 1.74915357 4.17625725 0.24066171 0.
2056 -0.410804629705 0.265788380498 -0.0723946473462 -1.10798295883 0.0240192645892 -0.44330476371 0.0875662026395 0 0.0875555350645 0 1.7511107 3.94031911 0.00032003 0.
2057 -0.385424881532 -0.119636501034 -0.0606455117116 -1.16862847054 0.018397371071 -0.44330476371 0.084447376699 0 0.084447376699 0 1.68894753 3.80013195 0. 0.
2058 -0.067946996029 -0.187583497063 0.03627527266 -1.13235319788 0.0334592546407 -0.409845509069 0.0924837919764 0 0.0801965637573 0 1.60393128 3.97746222 0.36861685 0.
2059 0.243213825412 0.0556303283486 0.0236502374673 -1.10870296041 0.0343429039657 -0.375502605103 0.106098848014 0 0.0844388940447 0 1.68877788 4.44954885 0.64979862 0.
2060 0.0766874967903 0.132317825139 -0.00740055351275 -1.11610351392 0.0327387264678 -0.342763878635 0.107924797391 0 0.0865122549735 0 1.7302451 4.53542775 0.64237627 0.
2061 -0.0783936341374 0.0539241910016 -0.0268550606749 -1.14295857459 -0.0192642906521 -0.362028169287 0.107122209191 0 0.0878630713311 0 1.75726143 4.53161235 0.57777414 0.
2062 0.0917733143921 0.145697505394 -0.0349368740379 -1.17789544863 -0.0353978498725 -0.397426019159 0.115385716002 0 0.0934991318978 0 1.86998264 4.86405846 0.65659752 0.
2063 0.139214794621 0.284912300015 0.0243192529641 -1.15357619567 0.0144204418329 -0.383005577326 0.122271525832 0 0.0889138107014 0 1.77827621 5.00185294 1.00073145 0.
2064 0.149662783105 0.43457508312 0.00549551422789 -1.14808068144 0.0388993891187 -0.344106188207 0.128671552952 0 0.0913824395672 0 1.82764879 5.23088318 1.1186734 0.
2065 0.164949067587 0.599524150707 0.0107150375588 -1.13736564388 0.00826426009144 -0.335841928116 0.135439859895 0 0.0918317206035 0 1.83663441 5.44067161 1.30824418 0.
2066 0.129031957251 0.728556107958 -0.0152060588674 -1.15257170275 0.0126054734714 -0.323236454645 0.140613861593 0 0.0957805962463 0 1.91561192 5.65512479 1.34499796 0.
2067 0.20605304749 0.934609155448 -0.0394157240568 -1.19198742681 -0.0672003392091 -0.390436793854 0.149264118314 0 0.103161716417 0 2.06323433 6.0253493 1.38307206 0.
2068 0.190225049744 1.12483420519 -0.00804925642839 -1.20003668324 -0.0196247971524 -0.410061591006 0.155925584365 0 0.10300166344 0 2.06003327 6.22279248 1.58771763 0.
2069 0.167676053281 1.29251025847 0.0132876922822 -1.18674899096 -0.00935802477485 -0.419419615781 0.162051409505 0 0.101722340543 0 2.03444681 6.38737739 1.80987207 0.
2070 0.238043090559 1.53055334903 0.0709070038541 -1.11584198711 -0.0112974522275 -0.430717068009 0.171165314844 0 0.0948662616611 0 1.89732523 6.55795337 2.2889716 0.


