Timestamp dT0 sum(dT0) dT1 sum(dT1) dT2 sum(dT2) L0 L1N L1S L2 30S(Tg) 15S(Tg) 15N(Tg) 30N(Tg)
2035 0.13 0.13 0.01 0.01 -0.03 -0.03 0.0140 0 0 0 0. 0.5205 0.5205 0.
2036 0.332662049053 0.462662049053 0.0361517686374 0.0461517686374 -0.0197796188788 -0.0497796188788 0.0237308861991 0.000948402651452 0 0 0. 0.68347451 0.72615263 0.01896805
2037 0.0811884764208 0.543850525474 0.011414193939 0.0575659625764 0.101200751125 0.0514211322458 0.0288652854939 0.00116262521547 0 0.0172170968471 0.68868387 0.3145669 0.36688504 0.71193638
2038 0.0460788311632 0.589929356637 -0.0779456662665 -0.0203797036901 0.00298316376028 0.0544042960061 0.034743369902 0 0.00653735118525 0.00655291052703 0.39286344 0.94377405 0.64959325 0.26211642
2039 0.12746771721 0.717397073847 -0.0575531609934 -0.0779328646835 -0.0710126582929 -0.0166083622868 0.0435988205411 0 0.0131092064032 0 0.26218413 1.50460271 0.91468842 0.0
2040 0.196215106793 0.91361218064 -0.088288698647 -0.166221563331 0.0193011326131 0.00269277032633 0.05500983936 0 0.0293195424069 0 0.58639085 2.09008832 0.77070891 0.
2041 0.102514689746 1.01612687039 -0.0436467909091 -0.20986835424 0.0461793938131 0.0488721641395 0.0586411405504 0 0.0293252607049 0.00918494553078 0.95390304 1.92356476 0.60392803 0.36739782
2042 -0.00194172561243 1.01418514478 -0.0702970659821 -0.280165420222 0.00953176253913 0.0584039266786 0.0601640545707 0 0.0356518524965 0.00267188046522 0.81991227 2.25954301 0.65520965 0.10687522
2043 -0.0402744989303 0.97391064585 0.020913509681 -0.259251910541 0.0817275498944 0.0584039266786 0.0621955414886 0 0.0264896523291 0.0357058891595 1.95802861 1.19203435 0. 1.42823557
2044 0.0189882539236 0.992898899774 -0.0697822691478 -0.329034179689 0.0647944308178 0.0584039266786 0.0670975349127 0 0.0392896460537 0.0278078888589 1.89810848 1.76803407 0. 1.11231555
2045 0.0461121134125 1.03901101319 -0.118727792038 -0.447761971727 -0.0330893142685 0.0253146124101 0.0719077532168 0 0.0525855558199 0 1.05171112 2.94601593 0.57966592 0.
2046 -0.0503651649316 0.988645848258 -0.103039152258 -0.550801123985 0.0637035705238 0.0253146124101 0.0726905365049 0 0.0578194410535 0.0148710954513 1.75123264 2.60187485 0. 0.59484382
2047 0.0496831767555 1.03832902501 -0.107318046612 -0.658119170597 0.0741242864769 0.0253146124101 0.0789006232924 0 0.0675927341021 0.0113078891903 1.80417025 3.04167303 0. 0.45231557
