Timestamp dT0 sum(dT0) dT1 sum(dT1) dT2 sum(dT2) L0 L1N L1S L2 30S(Tg) 15S(Tg) 15N(Tg) 30N(Tg)
2035 0.13 0.13 0.01 0.01 -0.03 -0.03 0.0140 0 0 0 0. 0.5205 0.5205 0.
2036 0.234128655776 0.364128655776 -0.0314210563386 -0.0214210563386 -0.10773595746 -0.13773595746 0.0230096217603 0 0.00101476439295 0 0.02029529 0.70551012 0.65984572 0.
2037 -0.128237355619 0.235891300157 -0.0904834511499 -0.111904507489 0.0153400710511 -0.122395886409 0.025078026874 0 0.00625353068899 0 0.12507061 0.84614377 0.56473489 0.
2038 -0.101626642794 0.134264657363 -0.0592253496624 -0.171129857151 0.0393553867262 -0.0830404996828 0.0281183654 0 0.0105149578638 0 0.21029916 1.00127533 0.52810223 0.
2039 -0.0139941854522 0.120270471911 -0.0796373034941 -0.250767160645 -0.0908022403102 -0.173842739993 0.0327858848338 0 0.0205259188533 0 0.41051838 1.29146533 0.36779898 0.
2040 0.0380865246794 0.15835699659 -0.080469323988 -0.331236484633 -0.0425042672109 -0.216347007204 0.0382949164392 0 0.0327989056088 0 0.65597811 1.64083108 0.16488032 0.
2041 -0.0437656643575 0.114591332232 -0.0797092018753 -0.410945686508 0.0612716121378 -0.155075395066 0.0394661097221 0 0.0375943679563 0 0.75188736 1.74789881 0.05615225 0.
2042 0.117999341122 0.232590673354 0.0773565435389 -0.333589142969 0.0462596407891 -0.108815754277 0.0480557972649 0 0.0225022133696 0 0.45004427 1.77920712 0.76660752 0.
2043 0.118215000474 0.350805673828 -0.0541688617749 -0.387758004744 -0.0112883348331 -0.12010408911 0.0536930783397 0 0.0375686322187 0 0.75137264 2.17432183 0.48373338 0.
2044 -0.200781149209 0.150024524619 -0.0592705820557 -0.4470285868 0.071584742072 -0.048519347038 0.04765115377 0 0.0376599042998 0.00812524948062 1.07820807 1.75067569 0.05598 0.32500998
2045 -0.155871485052 -0.00584696043316 -0.0961494128377 -0.543177999638 0.0191513138792 -0.0293680331588 0.0490905524476 0 0.0466616303832 0 0.93323261 2.17264103 0.07286766 0.
2046 0.0191905412167 0.0133435807835 -0.0737545336757 -0.616932533314 -0.0502283067017 -0.0795963398605 0.0561153744326 0 0.0523064233606 0 1.04612847 2.46805758 0.11426853 0.
2047 0.204311642164 0.217655222947 -0.0754277337774 -0.692360267091 -0.080225761827 -0.159822101688 0.0667119936315 0 0.0616754332812 0 1.23350867 2.92649131 0.15109681 0.
2048 0.0967786175869 0.314433840534 0.00519417476935 -0.687166092322 -0.0683366121366 -0.228158713825 0.0699851879836 0 0.0551150793835 0 1.10230159 2.92628183 0.44610326 0.
2049 0.0867879241469 0.401221764681 0.0629779386166 -0.624188153705 0.00779405241973 -0.220364661405 0.0748605773055 0 0.046724417849 0 0.93448836 2.94668359 0.84408478 0.
2050 0.245210281606 0.646432046287 0.0256478796363 -0.598540274069 0.0551958075627 -0.165168853842 0.0857170546005 0 0.051297324601 0 1.02594649 3.34097151 1.0325919 0.
2051 0.316053241118 0.962485287405 0.00983865444186 -0.588701619627 0.00425481824034 -0.160914035602 0.096267255072 0 0.0552870088144 0 1.10574018 3.71732278 1.22940739 0.
2052 0.198648855281 1.16113414269 -0.0160249747767 -0.604726594404 -0.0384287124446 -0.199342748047 0.101224028863 0 0.0591846075907 0 1.18369215 3.92448998 1.26118264 0.
2053 0.0276441373614 1.18877828005 -0.0488198473906 -0.653546441795 -0.00783113561352 -0.207173883661 0.102070530239 0 0.064018446695 0 1.28036893 4.02239261 1.14156251 0.
2054 -0.129014266223 1.05976401383 0.00601895717234 -0.647527484623 0.0100850231376 -0.197088860523 0.100312720381 0 0.0568219523076 0 1.13643905 3.8617109 1.30472304 0.
2055 -0.112537236 0.94722677783 -0.0115767409049 -0.659104225528 0.00917493784069 -0.187913922682 0.102024818615 0 0.0581396860801 0 1.16279372 3.93283985 1.31655398 0.
2056 -0.0706523580918 0.876574419738 -0.0116888220099 -0.670793047538 0.0628029229979 -0.125110999684 0.104968373728 0 0.058765071641 0 1.17530143 4.03052729 1.38609906 0.
2057 0.0974624290834 0.974036848821 -0.0223908419599 -0.693183889498 0.0267888148023 -0.0983221848817 0.113298436786 0 0.0636869956716 0 1.27373991 4.35425804 1.48834323 0.
2058 0.0950504206099 1.06908726943 -0.0430628054959 -0.736246694994 -0.0410846113541 -0.139406796236 0.118463719728 0 0.0693338652508 0 1.38667731 4.59391957 1.47389563 0.
2059 0.0893227039961 1.15840997343 0.0242409135501 -0.712005781444 -0.0133316652972 -0.152738461533 0.123463507997 0 0.0632054485508 0 1.26410897 4.65198697 1.80774178 0.
2060 0.117787940661 1.27619791409 -0.0276925749705 -0.739698356414 -0.0523052695165 -0.205043731049 0.129609941142 0 0.0705395077043 0 1.41079015 4.94639085 1.772113 0.
2061 0.160040272464 1.43623818655 -0.0544671878821 -0.794165544296 0.0325371511472 -0.172506579902 0.1367818958 0 0.078507992633 0 1.57015985 5.28107676 1.7482171 0.
2062 -0.0986122442752 1.33762594227 0.0111576128263 -0.78300793147 0.0775779516903 -0.0949286282117 0.133713950673 0 0.0694573043305 0 1.38914609 5.05327809 1.92769939 0.
2063 -0.0479978749719 1.2896280673 0.0284539658382 -0.754553965632 0.0275610248104 -0.0673676034013 0.13723183252 0 0.0660362462442 0 1.32072492 5.10749867 2.13586759 0.
2064 0.109696071561 1.39932413886 -0.0228615448707 -0.777415510503 -0.0509919950867 -0.118359598488 0.145595069851 0 0.074068397195 0 1.48136794 5.47887805 2.14580018 0.
2065 0.208831787526 1.60815592639 -0.0272415645314 -0.804657075034 -0.0517368804098 -0.170096478898 0.154700875165 0 0.0792674051416 0 1.5853481 5.83003733 2.2630041 0.
2066 0.205540079274 1.81369600566 -0.0424856501069 -0.847142725141 -0.0477957102235 -0.217892189122 0.161872020354 0 0.0854650268333 0 1.70930054 6.13813601 2.29220981 0.
2067 0.0526374829628 1.86633348862 -0.00673683807287 -0.853879563214 -0.00767021481977 -0.225562403942 0.16350716878 0 0.0823629994069 0 1.64725999 6.14066005 2.43432508 0.
2068 0.140423737726 2.00675722635 0.0477613125039 -0.80611825071 0.0509331127396 -0.174629291202 0.171153411643 0 0.0767509832682 0 1.53501967 6.2858671 2.83207285 0.
2069 0.0219056411809 2.02866286753 -0.0473934911631 -0.853511741873 -0.0525413513371 -0.227170642539 0.172855403709 0 0.0866008659023 0 1.73201732 6.4846751 2.58763613 0.
2070 -0.0753044899757 1.95335837755 -0.0773458576428 -0.930857599516 -0.015130359841 -0.24230100238 0.173168386143 0 0.0931019133954 0 1.86203827 6.59158029 2.40199418 0.
