Timestamp dT0 sum(dT0) dT1 sum(dT1) dT2 sum(dT2) L0 L1N L1S L2 30S(Tg) 15S(Tg) 15N(Tg) 30N(Tg)
2035 0.13 0.13 0.01 0.01 -0.03 -0.03 0.0140 0 0 0 0. 0.5205 0.5205 0.
2036 0.124099207783 0.254099207783 0.0234009507907 0.0334009507907 0.0963352524421 0.0663352524421 0.022204206201 0.000717016017718 0 0.00987379826458 0.39495193 0.34840176 0.38066748 0.40929225
2037 -0.00682284441001 0.247276363373 -0.0281805005511 0.00522045023962 0.0103685836979 0.07670383614 0.0260501197588 0 0.00104358066714 0.0101625900922 0.42737522 0.4922796 0.44531847 0.4065036
2038 0.170281483304 0.417557846677 -0.00757808014789 -0.00235762990827 0.0108424099224 0.0875462460624 0.0342144758432 0 0.0023852381333 0.0145456708945 0.6295316 0.62584272 0.518507 0.58182684
2039 0.266438744469 0.683996591146 -0.0609235025372 -0.0632811324455 -0.0603268963845 0.0272193496779 0.0451443733134 0 0.0130478365367 0 0.26095673 1.55004875 0.9628961 0.
2040 0.35582133878 1.03981792993 -0.0128147250833 -0.0760958575288 0.00923869050543 0.0364580401833 0.0602401986173 0 0.0194650661794 0 0.38930132 2.09918195 1.22325397 0.
2041 0.155036229732 1.19485415966 -0.0257637680824 -0.101859625611 -0.00579682484384 0.0306612153395 0.0628729941259 0 0.0219615386081 0 0.43923077 2.2156129 1.22734367 0.
2042 0.131288873104 1.32614303276 -0.0570595848014 -0.158919210412 -0.0531706663318 -0.0225094509923 0.0683110038774 0 0.0295987052183 0 0.5919741 2.49331069 1.16136896 0.
2043 0.128950860564 1.45509389332 -0.082008599245 -0.240927809657 -0.0160594908195 -0.0385689418118 0.0740980189962 0 0.0388111210884 0 0.77622242 2.80510739 1.05860694 0.
2044 0.160381334824 1.61547522814 -0.0471216959382 -0.288049505595 -0.0596800110945 -0.0982489529063 0.0810781751023 0 0.0414874790266 0 0.82974958 3.05465744 1.18772088 0.
2045 -0.0718061659293 1.54366906221 -0.000243474582944 -0.288292980178 0.0772428335892 -0.0210061193171 0.078985091002 0 0.0351943405445 0 0.70388681 2.89746784 1.31372251 0.
2046 -0.209430186048 1.33423887616 0.00400796818597 -0.284285011992 0.00340689452281 -0.0175992247943 0.0761039990291 0 0.0313968609131 0 0.62793722 2.75407288 1.34121414 0.
2047 -0.036328751736 1.29791012442 -0.0401083864725 -0.324393398465 0.0174360958214 -0.000163128972914 0.0820769391202 0 0.0389904539659 0 0.77980908 3.04716498 1.29259455 0.
2048 0.125027867245 1.42293799166 0.066059627935 -0.25833377053 0.00431300939869 0.00414988042578 0.090787775218 0 0.0286421305464 0 0.57284261 3.15326521 1.86436934 0.
2049 -0.0448505397561 1.3780874519 -0.00105254184784 -0.259386312378 0.0279905940089 0.0321404744347 0.0903282354923 0 0.0318101634693 0 0.63620327 3.18699952 1.75554216 0.
2050 -0.111694942622 1.26639250928 -0.0041967654807 -0.263583077859 0.0668864942981 0.0990269687328 0.0905309654698 0 0.0307293049384 0.0306340349958 1.8399475 2.25784749 0.87502877 1.2253614
